Months/Years,Overall Growth rate,Growth of Coal (%),Growth of Crude Oil (%),Growth of Natural Gas (%),Growth of Petroleum Refinery Products (%),Growth of Fertilizers (%),Growth of Steel (%),Growth of Cement (%),Growth of Electricity (%)
 April-2005,2.5,8.2,-0.4,-0.4,-7.7,-2.5,8.7,9.9,3
 May-2005,4,11.2,-1.9,3.1,-6,-1.6,1,15.3,10.3
 June-2005,4.6,3.4,0.3,5.7,-1.1,-4.8,4.1,16.6,9.4
 July-2005,-0.3,-1.6,-3.9,1.3,3.6,1.9,-0.9,3.6,-1
 August-2005,3.7,10.6,-16.1,-2.4,2.5,5.4,6.8,19.3,7.9
 September-2005,1.2,4.3,-7.4,0.1,4.9,4.4,4.4,4.9,-0.7
 October-2005,3.9,6.1,-7,4.1,-2.4,-7,11.7,8.6,7.7
 November-2005,3.1,6.9,-8.5,-1.3,1.5,0.8,10.5,7.8,3.4
 December-2005,5,6.7,-8.1,-1,9.2,0.2,12.3,13.4,3.4
 January-2006,5.7,8.2,-4.9,0.5,5.5,-0.4,10,15.4,6.4
 February-2006,7.2,6.9,-2.1,9.3,6.5,8.1,8.2,16.3,9.1
 March-2006,5.4,7.4,-2.5,-0.9,9.4,4.4,6.8,17,3.4
 April-2006,7.4,3.4,-1.8,4.3,13.1,7.6,13.6,12.2,5.9
 May-2006,7.4,8.3,1.2,1,12.1,3.7,14.3,6.8,5.1
 June-2006,7.7,11.8,1.2,1.8,10.5,-1.4,13.7,11.7,4.9
 July-2006,10,9.1,4.1,3.3,12.6,2.5,16.2,14,8.9
 August-2006,5.5,0.6,12,-24.4,12.1,-4.9,10.6,2.9,4.1
 September-2006,9.8,-0.8,9.4,-1.3,13.4,7.3,11.7,16.5,11.5
 October-2006,9.7,1.9,9.3,-0.5,18.1,5.2,11.7,9.4,9.7
 November-2006,9.4,4.9,9.8,0.2,16.4,0.4,10.3,11.8,8.8
 December-2006,8.5,2.9,10.7,-0.5,10.8,4,11.2,8,9.1
 January-2007,8,9.9,4.7,-0.5,11.2,-0.5,9.5,7.2,8.3
 February-2007,7.5,6.5,4.9,-0.3,11.3,10.4,14.7,5.8,3.3
 March-2007,9.6,10.6,3.2,-0.7,13.4,5,16.4,5.5,8
 April-2007,6.7,0.6,1.4,-5.3,15.1,-6.2,9.2,5.8,8.7
 May-2007,7.2,0.5,-1.6,-4.5,14.9,-11.6,12.4,9.9,9.3
 June-2007,4.8,0.9,-1.8,-4.5,9.9,2,6.3,6,6.8
 July-2007,5.1,1.1,0.9,-2.2,4.7,-1.3,8.3,9.4,7.5
 August-2007,10.1,8,6.5,36.9,8.2,-2.4,12.1,16.7,9.2
 September-2007,5.4,6.3,-0.7,3.6,6.9,-10.5,12.5,5.4,4.3
 October-2007,4.8,8.9,-0.1,3,2.7,-4.6,9,7.5,4.2
 November-2007,4.7,7.7,0.3,3.4,5.2,-4.9,5.2,5.2,5.8
 December-2007,3.5,8.4,-1.4,4.2,1.9,-6.4,5.3,4.4,3.9
 January-2008,3,7.9,-0.2,-2.5,5.4,-9.7,0.9,5.6,3.7
 February-2008,6.5,11.6,2.3,4.7,5.8,-13.9,3.2,12.8,9.8
 March-2008,2.1,9.3,-0.3,-1.4,0.1,-25.7,-0.3,9.3,3.6
 April-2008,4.6,10.4,1,9.2,4.3,-5.6,8.4,6.9,1.4
 May-2008,4.6,8.8,3.2,9.4,0.1,11.7,9.3,3.8,2
 June-2008,3.7,6.1,-4.7,1.9,5.6,-5.8,8.1,6.6,2.6
 July-2008,4.8,5.5,-3,2,11.8,-10.8,6.7,5.5,4.5
 August-2008,2,5.9,-1,4.2,2.5,-2.8,3.6,1.9,0.8
 September-2008,3.7,11.2,-0.4,1.8,2.8,-3,2.3,8.1,4.4
 October-2008,2.7,10.6,-0.2,-0.9,5,-6.8,-3.1,6.2,4.4
 November-2008,1.2,9.7,0.5,-0.6,-1.1,2,-6.2,8.7,2.6
 December-2008,1.2,11.2,-0.3,-2,3,-9.5,-7.8,11.6,1.5
 January-2009,0.9,6.7,-8.1,-4.1,-1.3,-14,2.9,8.3,1.8
 February-2009,0.9,6,-6.2,-7.3,0.5,-14.1,3,8.3,0.6
 March-2009,3.6,5.3,-2.3,3,3.3,18.7,-1.6,10.1,6.3
 April-2009,2.8,14.2,-3.1,5,-4.5,10.2,-4.3,11.9,6.7
