"Category","State/UT Name","Coal-2008","Coal-2009","Coal-2010","Coal-2011","Coal-2012","Coal-2013","Coal-2014","Copper-2008","Copper-2009","Copper-2010","Copper-2011","Copper-2012","Copper-2013","Copper-2014","Chromite-2008","Chromite-2009","Chromite-2010","Chromite-2011","Chromite-2012","Chromite-2013","Chromite-2014*","Diamond-2008","Diamond-2009","Diamond-2010","Diamond-2011","Diamond-2012","Diamond-2013","Diamond-2014*","Gold-2008","Gold-2009","Gold-2010","Gold-2011","Gold-2012","Gold-2013","Gold-2014*","Gypsum-2008","Gypsum-2009","Gypsum-2010","Gypsum-2011","Gypsum-2012","Gypsum-2013","Gypsum-2014*","Iron ore-2008","Iron ore-2009","Iron ore-2010","Iron ore-2011","Iron ore-2012","Iron ore-2013","Iron ore-2014*","Limestone-2008","Limestone-2009","Limestone-2010","Limestone-2011","Limestone-2012","Limestone-2013","Limestone-2014*","Magnesite-2008","Magnesite-2009","Magnesite-2010","Magnesite-2011","Magnesite-2012","Magnesite-2013","Magnesite-2014*","Manganese-2008","Manganese-2009","Manganese-2010","Manganese-2011","Manganese-2012","Manganese-2013","Manganese-2014*","Mica-2008","Mica-2009","Mica-2010","Mica-2011","Mica-2012","Mica-2013","Mica-2014*","Stone-2008","Stone-2009","Stone-2010","Stone-2011","Stone-2012","Stone-2013","Stone-2014","Other Minerals-2008","Other Minerals-2009","Other Minerals-2010","Other Minerals-2011","Other Minerals-2012","Other Minerals-2013","Other Minerals-2014","Total-2008","Total-2009","Total-2010","Total-2011","Total-2012","Total-2013","Total-2014"
"State","Andhra Pradesh","57955","62867","69715","65409","61091","59114","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","259","252","233","226","279","300","269","2495","2481","2511","2686","3146","5316","2148","NA","NA","NA","NA","NA","NA","NA","888","999","1088","1199","1188","1168","1180","535","508","485","447","461","455","474","78","78","78","78","115","107","69","5959","6970","7019","7871","9424","9937","9334","135102","74155","81129","77916","75704","76397","13474"
"State","Arunachal Pradesh","NA","NA","408","408","408","408","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","408","NA","408","408","NA"
"State","Assam","2422","1898","2116","2075","1948","1668","1724","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","254","246","237","212","156","137","129","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4820","2144","2353","2287","2104","1805","1853"
"State","Bihar","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","243","233","223","166","159","152","152","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","63","65","69","72","72","72","56","54","96","95","95","93","93","93","24","19","67","56","56","57","57","778","413","454","389","380","374","358"
"State","Chhattisgarh","32091","32219","31564","32616","34041","34310","36806","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6075","5802","6559","5443","4884","4202","5093","1435","1378","1031","1072","1521","1612","1358","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2781","3110","3343","3397","3810","3323","3180","75979","42509","42497","42528","44256","43447","46437"
"State","Goa","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","5213","5790","6240","7161","7310","6062","4329","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","504","491","NA","475","470","470","385","NA","NA","NA","NA","NA","NA","NA","240","269","307","293","217","263","266","153","138","590","89","162","89","71","6870","6688","7160","8018","8159","6884","5051"
"State","Gujarat","1712","2082","2830","2837","2531","3255","2451","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2088","1956","1957","1790","1750","2042","2176","NA","NA","NA","NA","NA","NA","NA","NA","NA","23","23","27","54","53","NA","NA","NA","NA","NA","NA","NA","228","228","228","298","228","228","228","2001","1627","1703","1467","1539","1576","1334","10295","5893","6718","6415","6075","7155","6242"
"State","Haryana","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","16","16","16","16","16","16","16","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2303","2303","2303","2303","2303","2303","2303","2175","2146","2146","2146","2146","2146","2152","6813","4465","4465","4465","4465","4465","4471"
"State","Himachal Pradesh","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1150","1120","1091","1102","1166","1202","1189","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","41","40","40","27","27","27","NA","2311","1160","1131","1129","1193","1229","1189"
"State","Jammu & Kashmir","NA","NA","621","641","616","574","304","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","84","84","121","121","113","NA","NA","NA","NA","NA","NA","NA","NA","54","NA","38","38","35","35","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","38","0","NA","NA","NA","NA","NA","743","763","775","730","452"
